date,category,product,region,sales,quantity,customer
2023-01-01,Electronics,Laptop,North,1200,5,Cust001
2023-01-02,Clothing,T-Shirt,South,50,20,Cust002
2023-01-03,Home,Sofa,East,800,2,Cust003
2023-01-04,Electronics,Smartphone,West,900,8,Cust004
2023-01-05,Clothing,Jeans,North,100,15,Cust005
2023-02-01,Electronics,Laptop,South,1250,6,Cust006
2023-02-02,Clothing,Jacket,East,200,10,Cust007
2023-02-03,Home,Table,West,300,4,Cust008
2023-02-04,Electronics,Headphones,North,150,25,Cust009
2023-02-05,Clothing,Shoes,South,120,12,Cust010
2023-03-01,Electronics,Laptop,East,1300,7,Cust011
2023-03-02,Clothing,Hat,West,30,30,Cust012
2023-03-03,Home,Lamp,North,60,18,Cust013
2023-03-04,Electronics,Smartphone,South,950,9,Cust014
2023-03-05,Clothing,Scarf,East,40,22,Cust015
2023-04-01,Electronics,Tablet,West,500,12,Cust016
2023-04-02,Home,Chair,North,150,8,Cust017
2023-04-03,Clothing,Dress,South,180,5,Cust018
2023-04-04,Electronics,Monitor,East,300,10,Cust019
2023-04-05,Home,Bed,West,1500,1,Cust020
